ano,numero_patente,site
2010,12281,Patentscope
2011,22878,Patentscope
2012,7130,Patentscope
2013,11478,Patentscope
2014,15871,Patentscope
2015,29645,Patentscope
2016,50645,Patentscope
2017,74697,Patentscope
2018,43496,Patentscope
2019,33520,Patentscope
2020,33688,Patentscope
2010,13381,Espacenet
2011,23324,Espacenet
2012,10563,Espacenet
2013,18460,Espacenet
2014,23518,Espacenet
2015,35962,Espacenet
2016,48844,Espacenet
2017,66034,Espacenet
2018,42676,Espacenet
2019,34249,Espacenet
2020,35458,Espacenet
2010,11765,The Lens
2011,21238,The Lens
2012,8424,The Lens
2013,15770,The Lens
2014,17214,The Lens
2015,31984,The Lens
2016,46822,The Lens
2017,66781,The Lens
2018,41418,The Lens
2019,33496,The Lens
2020,32493,The Lens
